customer_id,total_orders,total_amount,repeat_purchaser
1213.1485036408333,2,2138,1
910.3585017474741,3,3902,1
628.9412605852501,34,75428,1
150.62489851481286,3,3560,1
359.2432710938699,12,17401,1
178.76263086477343,2,7016,1
1019.2625098147802,10,17132,1
196.51924345113676,1260,4855595,1
815.9390093975416,20,33041,1
523.223308021096,5,24501,1
632.0622110154837,9,25024,1
115.65782433497718,3,3486,1
596.8436302014119,5,9726,1
1131.4161503702585,2,1246,1
244.8166645330073,32,69803,1
131.34788176917095,3,3519,1
75.0241877081799,10,26952,1
1201.0734868922034,2,2359,1
564.8880607761822,16,75310,1
1100.718128862009,4,3388,1
395.04300147173177,2,1443,1
356.03198070222277,2,4576,1
302.9119886232128,26,105624,1
1144.2367220083127,24,76577,1
87.07215036672126,19,54395,1
64.15448047502258,2,14501,1
100003.41627721005,4,7665,1
669.422602586227,2,2146,1
616.0863882196415,46,49654,1
547.1662110011678,34,62928,1
141.13742100176532,2,14044,1
1079.5477277717077,7,12593,1
53.492024667003236,526,1647695,1
665.4061361353225,58,109641,1
209.4156206599996,8,14309,1
643.3516080959344,55,148071,1
1155.3740942693553,2,2246,1
113.3237068853589,3,6995,1
1037.6421838638478,2,1413,1
118.48903579937787,11,17182,1
1115.5109730409533,2,2181,1
214.11227252570583,10,14347,1
672.0321800182284,738,3409007,1
125.12453313083984,2,6770,1
473.62597174981187,2,1310,1
965.171199204209,51,47700,1
513.0546878593079,12,11202,1
100003.8492818793,6,10223,1
261.7362341107937,21,105060,1
821.3178006920002,10,11440,1
1014.5055335328617,2,1426,1
140.52663009030573,77,366798,1
316.9944297664718,199,444850,1
1094.2173471971248,3,2178,1
1116.369165601721,18,68470,1
896.807622066452,47,110177,1
510.6433932931853,3,2821,1
1239.8331100670082,2,2372,1
974.6273926414972,4,4590,1
84.42789310930549,2,6944,1
609.265889899723,16,25460,1
115.5807071960165,2,5168,1
1113.9450998001937,8,8769,1
196.20138610891118,51,107084,1
105.98548453265799,8,16491,1
525.800596151484,12,11223,1
1112.8871456177167,2,1299,1
870.3237083284292,4,6085,1
162.63509715162522,10,26237,1
554.4639419461602,6,9774,1
42.15225325037039,10,27221,1
100009.77581635807,3,8664,1
878.4382642584642,3,3944,1
117.59814826802402,554,1529422,1
133.33885332557853,224,434638,1
69.0057458773094,2,6515,1
452.88129100965284,33,79344,1
89.77002395916465,155,236222,1
100007.19680678486,6,6609,1
59.10562258310253,523,1957061,1
976.2817353857405,154,248827,1
581.3827362879027,87,118177,1
132.60925450184754,3,6773,1
102.11981860922779,2,14195,1
37.79516562697283,10,26155,1
100007.22592195729,4,9865,1
1230.8067428006864,2,2996,1
1035.3795620166723,2,2472,1
1095.919473561498,2,1326,1
868.5712387221133,2,2203,1
597.1151698874108,97,123787,1
196.31030774673485,207,646495,1
96.60997666120792,10,26776,1
190.27877684344116,31,49728,1
270.3920366293179,3,3449,1
778.7942790468433,19,33294,1
924.4222297234097,7,4980,1
89.53376611973096,152,235252,1
114.45719151274105,3,6980,1
502.8344506561853,3,2929,1
720.5607082050064,24,107770,1
147.14048606625855,20,104555,1
908.3066094895272,726,3523172,1
874.8825167771713,64,116072,1
184.52271374654023,107,234013,1
1041.537263416714,26,32737,1
527.8470116707906,15,35009,1
122.82307140340684,124,316765,1
133.5996995110897,2,6433,1
935.0197922906475,45,110265,1
1228.8868818918868,19,76190,1
89.1676392915725,423,660311,1
566.439563582749,5,4980,1
553.4696095485194,2,1585,1
520.3905578054315,3,2685,1
140.50434540511355,75,365077,1
100004.78645223122,8,21852,1
36.19456587959255,484,1839321,1
993.4637772917824,7,37466,1
374.2693874085513,28,59170,1
757.809361951797,25,19161,1
836.057669216443,35,71371,1
284.958786953726,3,3275,1
148.5370289256657,2,4865,1
446.3657239084538,28,47329,1
107.70380045746633,180,246996,1
1164.9240495179665,2,2093,1
187.90248565741265,2,3183,1
1018.9381314101618,2,1423,1
877.0522607163376,3,3946,1
100006.40572697028,6,7052,1
693.4695444655387,29,63147,1
944.2710072474086,7,8279,1
124.89529440246076,2,6137,1
64.12801405355606,6,17279,1
1060.8598686832831,2,1400,1
38.91733431810319,7,17885,1
125.2109387465375,2,5456,1
697.690391839507,17,72652,1
104.19240205786458,112,392506,1
1068.2933746243405,3,2169,1
118.77142424680952,13,17576,1
649.8497217671234,3,2396,1
298.40521533728815,21,61873,1
85.96898630960301,110,220620,1
110.61057401636356,551,1580509,1
264.9785807684467,61,219743,1
513.5909563676249,11,11088,1
897.3928166285568,10,17079,1
214.08825608394352,3,10425,1
453.5763369460462,11,11324,1
1045.8232996863599,2,2199,1
78.45708229100391,20,189785,1
510.5992658212408,5,24480,1
267.8674415598014,3,6176,1
345.3194201840554,8,25427,1
127.49440248913095,8,103542,1
236.55728633516006,2,3802,1
573.266378488248,13,35182,1
143.88478846573295,16,49575,1
856.0728258214428,9,17038,1
1109.0238319919602,4,3368,1
678.9735956319072,3,3429,1
602.3997874064863,14,35119,1
1201.5346300151652,2,2931,1
173.74289954681933,2,3608,1
100004.28979139344,5,9663,1
491.25199721273293,27,72636,1
485.15571096129815,2,7095,1
1073.2723371351287,2,2570,1
217.64109943346728,7,24006,1
296.8462569228193,228,586133,1
924.6424418845086,11,35147,1
135.98968720521322,27,52394,1
495.51558404299425,13,20031,1
53.83532018874864,401,1630723,1
1115.8538090259967,3,2115,1
507.4678701548672,4,13740,1
732.1806857364178,5,5955,1
609.1243840940324,112,306447,1
701.0803673180967,22,31400,1
87.6182830117536,685,2482508,1
15.420600862869932,7,17187,1
626.7329583987698,9,35424,1
1041.270731737601,2,1454,1
395.1444658918708,78,115634,1
100004.70163503567,5,10322,1
957.0657823287163,3,4422,1
837.9781011416285,9,16832,1
79.22790238270457,2,5775,1
999.6459422258581,7,11436,1
55.17733142455728,2,14501,1
100004.94527255572,5,11197,1
425.82611174113606,2,6218,1
510.95984767722143,6,6116,1
82.0338973702598,236,901226,1
660.9904700180732,132,308862,1
82.52863373024775,3,14583,1
1091.8712950162653,4,3400,1
618.2823207610205,6,5922,1
668.9232502129445,9,9401,1
112.33775259933803,2,14138,1
270.0704492423722,3,6789,1
529.9609090386589,6,9801,1
403.8489949091109,79,116006,1
149.04333063479933,6,14511,1
697.8347020575507,5,5969,1
1069.4457078953787,9,12385,1
65.11164992374982,13,30389,1
39.7647562274686,328,879984,1
134.60098614532336,3,6713,1
331.8831928101719,9,10390,1
26.574959281385382,7,17571,1
100008.24338057387,3,8612,1
77.85194126481727,694,2770860,1
509.2892050455593,27,13125,1
698.6818807466094,17,81168,1
